level,code,canonical_name,postal_alias,match_mode
district,120720,Sinembah Tanjung Muda Hulu,STM Hulu,district_village
district,120708,Sinembah Tanjung Muda Hilir,STM Hilir,district_village
district,170709,Tubei,Lebong Atas,district_village
district,127402,Tanjungbalai Utara,Tanjung Balai Utara,district_village
district,127401,Tanjungbalai Selatan,Tanjung Balai Selatan,district_village
district,190302,Lepar,Lepar Pongok,district_only
district,732604,Rindingallo,Rindingallo,district_only
district,920232,Mokwam,Warmare,district_only
district,810516,Ukar Sengan,Seram Timur,district_only
district,920235,Moruj Mega,Manokwari Utara,district_only
district,810306,Fordata,Yaru,district_only
district,610208,Jongkat,Segedong,district_only
district,910302,Sentani Timur,Sentani Timur,district_only
district,910313,Waibu,Waibu,district_only
district,910301,Sentani,Sentani,district_only
district,910304,Sentani Barat,Sentani Barat,district_only
district,910312,Ebungfao,Sentani,district_only
district,910315,Yapsi,Yapsi,district_only
district,910317,Raveni Rara,Raveni Rara,district_only
district,910307,Nimboran,Nimboran,district_only
district,731005,Balocci,Balocci,district_only
